Nombre,URL,Nombre_limpio,Latitud,Longitud
CONJUNTO EPISCOPAL DE TARRASA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/conjunto-episcopal-de-tarrasa-20130301101016/,CONJUNTO EPISCOPAL DE TARRASA,41.56314820000001,2.0054917
SANTA MARÍA DE TARRASA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-mara-de-tarrasa-20130301131256/,SANTA MARÍA DE TARRASA,41.5670926,2.0184159
SAN PEDRO DE TARRASA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-pedro-de-tarrasa-20130302020157/,SAN PEDRO DE TARRASA,41.5670926,2.0184159
ERMITA DE SAN AMBROSIO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/ermita-de-san-ambrosio/,ERMITA DE SAN AMBROSIO,36.2147785,-6.0025736
SANTAS CÉNTOLA Y ELENA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santas-cntola-y-elena-20130212144623/,SANTAS CÉNTOLA Y ELENA,42.77138799999999,-3.7664519
SAN PEDRO DE BALSEMAO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-pedro-de-balsemao-20130303114346/,SAN PEDRO DE BALSEMAO,41.10699779999999,-7.783158899999999
MUSEO DE LOS CONCILIOS Y DE LA CULTURA VISIGODA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/museo-de-los-concilios-y-de-la-cultura-visigoda-20151111114933/,MUSEO DE LOS CONCILIOS Y DE LA CULTURA VISIGODA,39.8584558,-4.0271249
MUSEO DE ARTE VISIGODO DE ARISGOTAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/museo-de-arte-visigodo-de-arisgotas-20160107130455/,MUSEO DE ARTE VISIGODO DE ARISGOTAS,39.6272226,-3.9408997
TESORO DE GUARRAZAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/tesoro-de-guarrazar-20160510213228/,TESORO DE GUARRAZAR,39.80381209999999,-4.1418393
MONASTERIO DE SAN JUAN DE LA HOZ EN CILLAPERLATA (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/monasterio-de-san-juan-de-la-hoz-en-cillaperlata-r/,MONASTERIO DE SAN JUAN DE LA HOZ EN CILLAPERLATA,42.7705533,-3.3617567
MONASTERIO COMPLUTENSE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/monasterio-cumplutense/,MONASTERIO COMPLUTENSE,,
ASENTAMIENTO FORTIFICADO DE PUIG ROM,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/asentamiento-fortificado-de-puig-rom/,ASENTAMIENTO FORTIFICADO DE PUIG ROM,42.2500668,3.1895824
SAN VICENTE DEL VALLE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-vicente-del-valle-20130212192444/,SAN VICENTE DEL VALLE,42.3371587,-3.1619652
ERMITA DE LOS SANTOS MARTIRES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/ermita-de-los-santos-20130303113251/,ERMITA DE LOS SANTOS MARTIRES,36.4490968,-5.9316337
TESORO DE TORREDONJIMENO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/tesoro-de-torredonjimeno-20160511115909/,TESORO DE TORREDONJIMENO,,
SAN JUAN DE BAÑOS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-juan-de-baos-20130213172605/,SAN JUAN DE BAÑOS,41.9208074,-4.4722455
SAN FRUCTUOSO DE MONTELIOS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-fructuoso-de-montelios-20130219134810/,SAN FRUCTUOSO DE MONTELIOS,41.560274,-8.438835899999999
Ermita de la Virgen del Val,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/virgen-del-val-20130303115019/,Ermita de la Virgen del Val,40.4842211,-3.3399975
LOS HITOS DE ARISGOTAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/los-hitos-de-arisgotas-20151104120010/,LOS HITOS DE ARISGOTAS,39.6484617,-3.8817742
SANTA LUCIA DEL TRAMPAL,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-lucia-del-trampal-20130215012346/,SANTA LUCIA DEL TRAMPAL,39.153451,-6.2217483
SANTA COMBA DE BANDE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-comba-de-bande-20130220015418/,SANTA COMBA DE BANDE,41.9734674,-8.0015862
CRIPTA DE SAN ANTOLIN,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/cripta-de-san-antolin-20130214180945/,CRIPTA DE SAN ANTOLIN,42.0113738,-4.5371326
SAN PEDRO DE LA MATA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-pedro-de-la-mata-20130222204031/,SAN PEDRO DE LA MATA,39.6136846,-3.9870109
IGLESIA DE VALDECEBADAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/iglesia-de-valdecebadar-20130226141622/,IGLESIA DE VALDECEBADAR,38.7396371,-7.087997799999999
IGLESIA DE LAS TAPIAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/iglesia-de-las-tapias-20130303115905/,IGLESIA DE LAS TAPIAS,8.2043071,-71.83932039999999
SAN GIAO DE NAZARÉ,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-giao-de-nazar-20130301013022/,SAN GIAO DE NAZARÉ,32.699635,35.303546
SAN PEDRO DE LA NAVE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-pedro-de-la-nave-20130227012059/,SAN PEDRO DE LA NAVE,41.5832,-5.964102
SAN MIGUEL DE TARRASA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/20130302121748/,SAN MIGUEL DE TARRASA,41.56314820000001,2.0054917
ERMITA DE SANTA CRUZ DE MONTES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-cruz-de-montes-20130408132701/,ERMITA DE SANTA CRUZ DE MONTES,42.5822043,-6.312638799999999
ARCO DE SAN JUÁN DE PANJÓN,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/arco-de-san-juan-de-panjon/,ARCO DE SAN JUÁN DE PANJÓN,42.1459839,-8.8231529
IGLESIA Y NECRÓPOLIS DE SAN MARTÍN DE FINAGA (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/iglesia-y-necropolis-de-san-martin-de-finaga-r/,IGLESIA Y NECRÓPOLIS DE SAN MARTÍN DE FINAGA,43.2196242,-2.896734
QUINTANILLA DE LAS VIÑAS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-mara-de-quintanilla-de-las-vias-20130227140221/,QUINTANILLA DE LAS VIÑAS,42.1246876,-3.4810821
PLA DE NADAL,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/pla-de-nadal-20160317201337/,PLA DE NADAL,39.5462772,-0.5795627
SANTA MARIA DE MELQUE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-maria-de-melque-20130226181456/,SANTA MARIA DE MELQUE,39.7506469,-4.373213
SAN PEDRO DE MONTES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-pedro-de-montes/,SAN PEDRO DE MONTES,42.4460523,-6.570532999999999
Ermita de Santa Cruz,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/ermita-de-santa-cruz-20130116122353/,Ermita de Santa Cruz,38.3478235,-0.4832320999999999
SAN JUAN DE ESPIERRE (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-juan-de-espierre-20140201172618/,SAN JUAN DE ESPIERRE,,
SANTA MARÍA DE ESPIERRE (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/msmespierre-20140201174506/,SANTA MARÍA DE ESPIERRE,,
MONASTERIO DE ARRASUL (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/monasterio-de-arrasul-20140201180227/,MONASTERIO DE ARRASUL,42.5944531,-0.3953404
SAN ÚRBEZ DE NOCITO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-rbez-de-nocito-20140201213126/,SAN ÚRBEZ DE NOCITO,42.3212836,-0.2534963
